Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas62                Pavarde62               1        10       9        5        1        10       5        8        5        8        2        1        2        8        9        3
Vardas63                Pavarde63               5        9        10       8        5        6        10       3        5        1        5        9        1        1        2        8
Vardas64                Pavarde64               8        1        10       3        9        9        10       1        2        2        2        10       4        1        1        10
Vardas65                Pavarde65               10       7        8        1        5        4        3        7        6        7        5        5        5        8        3        6
Vardas66                Pavarde66               8        8        6        5        7        1        1        7        2        1        5        3        8        6        6        9
Vardas67                Pavarde67               10       5        10       2        1        7        10       5        1        6        10       8        9        5        3        4
Vardas68                Pavarde68               4        9        8        8        1        6        9        8        9        10       10       9        8        6        8        2
Vardas69                Pavarde69               2        6        1        7        2        9        9        2        10       6        6        7        2        9        10       5
Vardas70                Pavarde70               1        10       10       9        1        3        5        9        3        6        3        6        8        8        5        9
Vardas71                Pavarde71               7        8        9        5        7        10       8        2        5        4        2        3        7        6        1        3
Vardas72                Pavarde72               9        3        7        7        1        9        2        10       1        2        6        6        4        5        7        5
Vardas73                Pavarde73               4        10       5        5        9        6        4        3        5        6        9        8        3        3        4        9
Vardas74                Pavarde74               5        4        4        6        8        4        8        8        5        6        5        9        7        8        9        7
Vardas75                Pavarde75               10       7        5        8        4        5        5        1        9        7        3        9        9        7        8        4
Vardas76                Pavarde76               10       4        9        4        3        8        8        5        9        10       8        6        10       5        7        2
Vardas77                Pavarde77               6        6        6        9        4        6        8        1        10       10       10       7        6        8        5        2
Vardas78                Pavarde78               9        5        1        8        10       1        10       7        10       3        9        6        10       4        8        1
Vardas79                Pavarde79               6        8        2        9        4        5        2        9        8        6        8        9        7        10       7        8
Vardas80                Pavarde80               6        6        4        4        3        4        3        3        6        4        8        7        1        6        6        8
Vardas81                Pavarde81               9        7        10       10       4        5        4        4        10       3        2        4        6        3        5        10
Vardas82                Pavarde82               10       7        6        2        2        10       9        5        4        10       6        2        7        6        8        2
Vardas83                Pavarde83               9        7        5        1        2        8        5        10       4        9        3        6        7        10       3        5
Vardas84                Pavarde84               10       3        3        8        2        4        6        9        3        7        8        6        4        3        10       5
Vardas85                Pavarde85               3        7        1        3        3        1        2        6        4        7        1        4        2        9        6        7
Vardas86                Pavarde86               5        5        3        5        9        5        7        9        5        8        3        5        8        5        3        4
Vardas87                Pavarde87               8        9        10       8        5        8        5        2        4        9        5        5        2        5        7        9
Vardas88                Pavarde88               4        10       3        5        10       1        4        1        6        9        6        10       9        8        7        10
Vardas89                Pavarde89               9        3        2        7        5        6        8        6        8        6        9        3        10       8        1        2
Vardas90                Pavarde90               5        10       5        1        2        4        10       2        9        2        5        2        1        5        10       5
Vardas91                Pavarde91               8        3        9        10       3        5        7        1        3        7        1        10       3        8        7        9
Vardas92                Pavarde92               10       6        2        8        8        9        8        2        5        5        9        7        7        5        9        5
Vardas93                Pavarde93               4        5        9        9        8        2        7        1        2        6        9        8        6        1        6        4
Vardas94                Pavarde94               5        9        7        6        4        8        5        6        5        8        4        8        9        10       9        2
Vardas95                Pavarde95               7        2        1        4        9        4        5        3        3        7        1        5        3        7        5        6
Vardas96                Pavarde96               7        2        7        2        4        1        5        1        1        5        8        8        2        4        6        7
Vardas97                Pavarde97               10       9        1        1        9        6        5        5        2        4        10       6        7        8        5        7
Vardas98                Pavarde98               1        7        7        3        8        2        10       2        9        4        2        4        10       6        4        2
Vardas99                Pavarde99               5        10       5        4        1        4        2        9        6        6        6        2        2        10       8        9
Vardas100               Pavarde100              8        5        6        10       8        4        8        9        5        6        5        10       2        9        3        3
Vardas101               Pavarde101              7        1        3        3        3        3        10       8        2        10       4        10       10       4        4        3
Vardas102               Pavarde102              5        1        9        6        9        2        1        3        9        6        8        7        7        2        9        6
Vardas103               Pavarde103              7        7        7        5        3        5        9        6        2        7        3        4        2        2        2        2
Vardas104               Pavarde104              6        10       1        9        10       3        7        6        6        8        10       4        2        10       1        8
Vardas105               Pavarde105              6        4        4        9        10       3        9        6        2        2        9        10       5        8        5        9
Vardas106               Pavarde106              2        9        7        4        1        1        1        7        2        2        9        10       10       2        3        5
Vardas107               Pavarde107              1        9        9        6        4        9        5        5        3        6        6        8        5        1        10       7
Vardas108               Pavarde108              2        3        9        2        4        7        7        2        3        8        10       1        2        3        6        2
Vardas109               Pavarde109              9        7        1        8        2        3        4        8        2        8        2        7        7        3        4        6
Vardas110               Pavarde110              4        10       1        10       10       4        2        1        2        2        10       2        1        2        7        4
Vardas111               Pavarde111              2        6        5        6        8        9        4        2        2        8        4        9        7        6        10       8
Vardas112               Pavarde112              8        3        2        1        6        8        4        8        7        8        6        9        5        1        3        9
Vardas113               Pavarde113              4        1        6        3        1        2        6        9        3        4        4        8        9        1        6        8
Vardas114               Pavarde114              4        2        6        6        4        6        6        8        5        7        7        6        5        1        9        3
Vardas115               Pavarde115              6        10       10       9        9        7        1        4        2        2        8        3        7        4        3        2
Vardas116               Pavarde116              8        7        10       7        1        10       10       10       7        8        2        1        1        5        1        1
Vardas117               Pavarde117              9        8        10       8        6        2        3        3        8        5        4        10       2        3        6        5
Vardas118               Pavarde118              7        1        5        3        2        10       9        7        10       9        2        7        3        7        6        9
Vardas119               Pavarde119              5        3        8        3        6        5        1        4        8        3        2        2        9        6        2        7
Vardas120               Pavarde120              6        5        1        5        1        3        8        10       9        9        6        6        1        7        6        9
Vardas121               Pavarde121              8        1        8        8        1        2        9        7        4        9        2        4        4        8        5        6
Vardas122               Pavarde122              2        3        6        5        10       2        4        8        10       9        4        10       8        6        6        6
Vardas123               Pavarde123              5        1        8        5        2        2        10       9        5        8        6        3        8        2        10       1
Vardas124               Pavarde124              4        9        2        6        3        6        3        3        9        10       5        6        6        8        3        8
Vardas125               Pavarde125              8        2        2        7        1        6        9        6        8        1        7        2        7        10       10       8
Vardas126               Pavarde126              6        10       6        5        1        5        5        1        2        1        7        4        1        7        3        7
Vardas127               Pavarde127              1        8        3        10       3        4        7        9        8        5        3        10       2        7        3        6
Vardas128               Pavarde128              1        2        8        4        9        8        3        3        9        6        8        4        4        1        10       3
Vardas129               Pavarde129              3        7        3        8        9        3        8        7        1        8        6        1        5        3        7        3
Vardas130               Pavarde130              6        2        3        8        7        5        4        1        3        4        9        10       8        2        5        5
Vardas131               Pavarde131              1        4        4        8        1        1        1        3        2        6        3        7        10       8        5        9
Vardas132               Pavarde132              2        3        8        5        5        8        5        6        2        7        10       1        5        8        3        9
Vardas133               Pavarde133              6        7        7        3        7        4        5        2        6        7        7        3        4        1        3        6
Vardas134               Pavarde134              10       7        2        8        5        10       6        3        9        1        3        6        5        8        1        6
Vardas135               Pavarde135              2        10       4        4        4        5        6        5        10       7        4        6        8        5        6        3
Vardas136               Pavarde136              4        6        1        2        10       5        8        7        1        8        9        3        10       7        10       8
Vardas137               Pavarde137              2        5        1        1        9        4        5        9        5        8        8        1        7        9        4        1
Vardas138               Pavarde138              10       8        10       8        1        1        6        1        3        9        4        10       10       10       7        6
Vardas139               Pavarde139              4        8        8        6        3        7        2        4        6        10       7        2        10       9        5        5
Vardas140               Pavarde140              5        7        5        1        7        1        4        1        3        9        1        1        8        7        8        8
Vardas141               Pavarde141              7        1        3        10       4        2        4        2        8        10       6        2        8        2        5        3
Vardas142               Pavarde142              2        10       2        6        3        6        1        6        6        9        4        7        9        3        10       10
Vardas143               Pavarde143              8        1        2        1        2        1        1        9        6        2        5        7        10       8        2        4
Vardas144               Pavarde144              8        10       8        10       10       9        1        2        9        10       5        9        9        2        3        9
Vardas145               Pavarde145              2        8        5        3        10       2        6        8        1        4        7        7        6        3        1        7
Vardas146               Pavarde146              2        7        5        5        3        4        4        10       6        4        7        8        2        4        5        10
Vardas147               Pavarde147              10       3        4        8        2        8        2        4        10       8        6        2        2        5        1        10
Vardas148               Pavarde148              2        5        7        5        9        8        1        10       6        3        1        1        8        7        8        7
Vardas149               Pavarde149              4        5        7        5        3        5        10       3        6        4        7        1        4        6        3        7
Vardas150               Pavarde150              7        2        10       1        2        3        2        4        3        1        5        2        4        5        3        4
Vardas151               Pavarde151              7        3        7        9        5        7        8        5        6        9        1        8        10       5        4        10
Vardas152               Pavarde152              3        4        7        7        6        9        2        10       8        4        6        1        2        3        2        1
Vardas153               Pavarde153              7        7        3        3        7        10       1        2        10       10       2        5        2        8        4        3
Vardas154               Pavarde154              6        4        10       5        2        2        9        3        10       2        9        2        8        2        5        6
Vardas155               Pavarde155              4        3        7        2        6        10       8        2        10       6        4        2        10       10       6        7
Vardas156               Pavarde156              4        10       1        1        9        3        1        5        10       8        6        4        6        1        4        10
Vardas157               Pavarde157              1        7        7        7        2        8        2        10       3        3        9        2        6        9        6        2
Vardas158               Pavarde158              5        2        4        10       8        1        6        4        10       3        8        2        6        4        7        6
Vardas159               Pavarde159              6        4        2        5        2        1        4        5        6        8        10       3        4        2        10       3
Vardas160               Pavarde160              3        7        3        10       4        5        9        6        5        6        6        6        1        1        2        3
Vardas161               Pavarde161              8        6        4        4        1        2        1        10       10       10       9        4        3        3        2        2
Vardas162               Pavarde162              9        2        5        1        10       10       6        8        9        4        7        2        10       9        2        7
Vardas163               Pavarde163              3        6        5        8        2        6        6        2        10       3        6        8        4        7        10       3
Vardas164               Pavarde164              4        8        6        10       6        3        9        10       10       7        2        2        5        9        5        5
Vardas165               Pavarde165              2        8        2        8        10       10       3        3        2        10       5        2        6        4        6        2
Vardas166               Pavarde166              4        7        5        5        2        2        1        7        7        10       9        9        3        7        5        7
Vardas167               Pavarde167              3        4        3        10       8        9        7        2        3        7        6        4        7        10       7        4
Vardas168               Pavarde168              6        3        6        9        9        5        4        9        7        6        9        6        1        5        3        10
Vardas169               Pavarde169              10       4        4        5        10       5        4        8        10       8        10       3        7        5        10       2
Vardas170               Pavarde170              9        5        2        1        7        10       9        10       10       9        4        6        4        7        10       6
Vardas171               Pavarde171              4        8        7        3        3        1        9        1        8        6        6        7        10       4        4        3
Vardas172               Pavarde172              7        8        1        4        10       5        6        3        3        8        1        5        6        3        2        6
Vardas173               Pavarde173              1        5        8        3        3        2        5        3        7        7        2        8        5        1        1        6
Vardas174               Pavarde174              2        4        5        4        9        2        9        8        2        5        8        10       10       9        9        5
Vardas175               Pavarde175              6        3        5        1        6        6        8        7        8        6        1        9        8        4        10       7
Vardas176               Pavarde176              2        6        4        8        3        8        10       4        5        3        8        10       9        5        9        10
Vardas177               Pavarde177              6        6        5        1        8        5        4        2        1        1        9        9        1        3        4        7
Vardas178               Pavarde178              7        9        5        7        5        4        4        1        10       5        3        2        5        10       1        9
Vardas179               Pavarde179              9        4        4        7        9        6        8        3        8        2        9        1        3        2        8        9
Vardas180               Pavarde180              7        5        7        2        8        8        6        6        9        5        10       4        4        10       2        7
Vardas181               Pavarde181              5        3        4        4        8        9        10       3        2        7        3        5        9        7        2        6
Vardas182               Pavarde182              3        7        1        8        8        3        4        9        2        2        8        8        5        2        4        4
Vardas183               Pavarde183              9        3        8        6        1        3        5        10       7        10       3        7        6        2        3        3
Vardas184               Pavarde184              5        4        6        4        10       3        4        8        1        5        6        2        8        4        3        2
Vardas185               Pavarde185              9        1        5        6        8        8        2        3        7        9        7        6        1        4        1        7
Vardas186               Pavarde186              9        3        3        10       3        8        9        9        6        8        5        3        4        10       1        5
Vardas187               Pavarde187              9        3        9        6        10       4        7        10       4        1        10       7        8        10       4        3
Vardas188               Pavarde188              2        9        6        3        8        1        2        3        8        2        10       8        6        7        3        9
Vardas189               Pavarde189              3        5        2        2        7        2        2        9        7        8        4        5        3        8        9        7
Vardas190               Pavarde190              9        5        5        4        2        3        2        5        8        10       10       1        7        2        2        5
Vardas191               Pavarde191              2        5        2        5        3        10       1        2        7        10       5        4        10       6        2        1
Vardas192               Pavarde192              3        2        8        1        2        10       4        1        10       10       10       5        1        3        7        10
Vardas193               Pavarde193              5        2        5        3        5        4        7        7        10       5        1        2        10       7        3        9
Vardas194               Pavarde194              3        5        7        6        4        5        5        8        2        8        6        3        6        7        9        5
Vardas195               Pavarde195              6        1        3        4        7        8        10       1        3        8        3        7        1        5        7        7
Vardas196               Pavarde196              1        1        7        4        7        8        3        10       4        6        8        2        4        8        3        7
Vardas197               Pavarde197              2        4        5        7        10       1        5        4        6        7        4        1        4        4        2        5
Vardas198               Pavarde198              9        9        5        2        5        8        4        5        8        4        10       1        8        5        8        10
Vardas199               Pavarde199              7        7        4        1        4        9        8        2        3        1        4        5        1        3        3        2
Vardas200               Pavarde200              2        3        3        4        8        6        7        1        9        10       1        5        8        5        1        6
Vardas201               Pavarde201              6        3        1        5        10       3        2        6        7        8        2        10       7        2        7        3
Vardas202               Pavarde202              10       7        9        4        9        3        3        4        8        4        4        8        4        10       10       10
Vardas203               Pavarde203              1        6        9        3        9        9        5        3        1        1        5        1        4        1        4        9
Vardas204               Pavarde204              3        7        6        8        10       10       2        4        2        7        4        2        8        2        3        10
Vardas205               Pavarde205              6        1        9        7        10       4        2        9        8        8        4        9        4        6        4        6
Vardas206               Pavarde206              7        4        2        5        7        4        2        6        4        4        8        7        3        6        3        1
Vardas207               Pavarde207              7        7        2        2        1        4        7        6        5        4        3        9        1        5        4        4
Vardas208               Pavarde208              3        6        10       1        5        8        4        10       5        5        6        10       10       10       3        10
Vardas209               Pavarde209              5        7        7        7        6        7        1        10       4        6        3        2        6        5        10       9
Vardas210               Pavarde210              5        1        8        2        1        6        10       7        1        4        1        9        9        9        3        4
Vardas211               Pavarde211              10       7        4        4        6        4        1        3        5        6        5        5        4        5        8        7
Vardas212               Pavarde212              2        4        8        1        5        7        7        9        2        9        4        2        4        7        4        4
Vardas213               Pavarde213              8        5        2        6        10       6        4        2        1        10       5        2        2        5        2        3
Vardas214               Pavarde214              10       5        5        5        10       7        4        4        4        5        5        6        4        9        2        8
Vardas215               Pavarde215              10       3        9        2        4        3        6        1        7        8        9        7        2        2        2        9
Vardas216               Pavarde216              4        5        8        7        1        10       4        3        8        5        7        5        1        2        9        3
Vardas217               Pavarde217              8        9        9        6        10       1        3        8        8        5        9        9        7        2        4        9
Vardas218               Pavarde218              1        8        2        10       7        1        7        10       1        5        7        7        6        1        3        3
Vardas219               Pavarde219              6        4        8        10       5        7        2        8        10       7        5        1        10       2        3        7
Vardas220               Pavarde220              10       9        4        4        7        9        6        3        8        9        9        6        9        1        10       1
Vardas221               Pavarde221              3        6        1        10       3        6        2        8        3        6        9        5        6        10       3        10
Vardas222               Pavarde222              5        10       9        4        4        9        5        9        9        1        5        6        6        3        7        7
Vardas223               Pavarde223              5        10       9        3        3        5        1        3        10       7        3        10       8        8        9        3
Vardas224               Pavarde224              3        4        10       6        8        4        6        6        7        10       2        9        7        1        3        3
Vardas225               Pavarde225              9        8        1        9        10       9        1        2        4        1        9        1        1        5        3        9
Vardas226               Pavarde226              2        5        4        3        2        9        1        8        4        10       7        2        2        2        2        3
Vardas227               Pavarde227              1        9        3        1        1        6        6        7        10       4        1        6        3        10       6        1
Vardas228               Pavarde228              1        7        4        2        7        10       2        8        1        3        2        6        6        8        7        3
Vardas229               Pavarde229              9        5        5        8        7        6        6        7        9        9        1        10       10       5        4        8
Vardas230               Pavarde230              10       1        6        8        5        9        9        7        10       4        8        5        3        10       5        1
Vardas231               Pavarde231              6        10       9        10       6        4        2        1        2        7        5        6        7        4        7        2
Vardas232               Pavarde232              1        6        5        9        8        2        9        10       2        1        1        5        5        1        3        2
Vardas233               Pavarde233              2        5        7        2        8        1        8        6        5        2        5        7        7        10       4        3
Vardas234               Pavarde234              3        8        8        3        5        3        4        2        6        5        1        6        5        5        4        4
Vardas235               Pavarde235              4        4        2        3        9        3        8        5        6        2        6        10       8        5        3        9
Vardas236               Pavarde236              7        4        7        5        5        8        5        5        6        2        8        3        4        3        10       8
Vardas237               Pavarde237              2        8        5        10       2        3        8        3        4        4        2        8        9        5        8        7
Vardas238               Pavarde238              7        10       7        2        10       2        8        10       9        6        6        2        4        9        6        4
Vardas239               Pavarde239              8        2        5        10       2        1        5        8        5        5        5        2        8        10       1        7
Vardas240               Pavarde240              7        6        3        2        3        4        5        6        3        1        6        1        7        5        5        8
Vardas241               Pavarde241              1        3        5        4        10       6        6        6        5        6        1        3        10       4        5        10
Vardas242               Pavarde242              6        9        1        1        2        7        2        5        4        5        8        1        5        9        4        3
Vardas243               Pavarde243              4        6        2        7        2        6        5        3        6        3        7        8        1        6        5        8
