Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas83                Pavarde83               4        10       2        3        5        6        5        5        2        2        1        4        1        5        8        7
Vardas84                Pavarde84               2        8        2        4        10       8        9        7        10       7        6        8        8        7        6        4
Vardas85                Pavarde85               5        7        1        4        1        4        2        6        9        1        6        7        6        8        10       2
Vardas86                Pavarde86               4        5        8        10       3        7        5        7        5        1        8        2        6        2        3        1
Vardas87                Pavarde87               4        8        10       4        2        8        10       4        6        9        4        2        1        9        5        10
Vardas88                Pavarde88               6        4        8        6        6        1        6        6        9        1        7        3        6        5        6        2
Vardas89                Pavarde89               6        9        5        10       4        5        8        1        2        3        8        6        1        2        5        2
Vardas90                Pavarde90               2        6        10       7        9        4        6        10       8        3        9        5        5        1        8        6
Vardas91                Pavarde91               10       8        6        9        6        1        9        4        5        1        10       6        4        4        9        9
Vardas92                Pavarde92               9        5        10       1        7        8        3        1        3        2        2        10       10       9        6        5
Vardas93                Pavarde93               1        6        5        9        6        4        2        9        3        1        7        9        7        9        9        5
Vardas94                Pavarde94               4        7        1        6        9        9        6        6        8        1        1        4        10       5        3        7
Vardas95                Pavarde95               10       2        5        1        9        8        5        10       8        3        10       3        7        2        5        10
Vardas96                Pavarde96               9        6        6        10       1        5        5        7        2        8        8        2        7        5        2        9
Vardas97                Pavarde97               4        4        1        9        3        1        10       10       7        7        4        7        2        4        9        6
Vardas98                Pavarde98               10       9        3        4        3        2        10       9        5        9        4        8        1        10       9        4
Vardas99                Pavarde99               10       9        4        7        8        9        5        6        6        2        10       4        4        9        10       9
Vardas100               Pavarde100              10       1        2        5        3        8        2        1        5        7        6        6        3        6        8        7
Vardas101               Pavarde101              3        7        8        1        3        7        1        6        9        10       10       4        6        5        3        10
Vardas102               Pavarde102              5        2        4        2        10       8        4        9        5        6        2        4        8        9        5        1
Vardas103               Pavarde103              3        9        2        8        5        8        9        6        2        8        3        10       10       6        5        6
Vardas104               Pavarde104              8        7        1        4        10       2        10       4        9        8        2        5        10       3        10       5
Vardas105               Pavarde105              4        10       10       7        6        3        1        5        1        1        4        9        8        2        7        3
Vardas106               Pavarde106              7        2        10       4        8        6        2        4        2        6        4        6        8        9        10       9
Vardas107               Pavarde107              2        3        1        6        6        5        4        3        2        5        10       5        5        9        3        2
Vardas108               Pavarde108              9        9        4        2        5        6        9        5        10       9        5        5        2        9        6        3
Vardas109               Pavarde109              2        10       7        10       7        6        6        6        5        9        8        4        6        7        3        9
Vardas110               Pavarde110              5        4        6        8        3        4        4        1        2        3        10       2        9        3        2        4
Vardas111               Pavarde111              6        3        9        3        9        10       3        3        2        8        6        5        6        5        5        6
Vardas112               Pavarde112              2        9        9        2        9        10       7        8        4        1        1        3        2        6        8        6
Vardas113               Pavarde113              2        9        5        2        8        7        4        1        9        10       5        4        7        5        5        5
Vardas114               Pavarde114              2        5        2        3        3        10       3        4        3        8        5        1        3        9        9        5
Vardas115               Pavarde115              3        5        2        1        4        5        9        9        3        6        4        7        7        3        8        5
Vardas116               Pavarde116              10       10       2        6        3        10       10       2        5        7        6        8        7        4        1        7
Vardas117               Pavarde117              9        1        4        9        8        9        5        2        6        10       9        4        6        7        9        3
Vardas118               Pavarde118              10       1        3        1        4        6        3        5        10       7        1        9        2        4        5        8
Vardas119               Pavarde119              3        2        6        6        3        2        10       7        2        8        7        2        3        10       4        10
Vardas120               Pavarde120              4        4        1        1        8        7        8        1        7        5        5        7        1        6        9        9
Vardas121               Pavarde121              7        9        5        9        9        5        10       7        4        8        5        3        5        1        7        6
Vardas122               Pavarde122              6        2        10       10       3        3        7        10       2        5        1        4        8        8        2        8
Vardas123               Pavarde123              7        6        5        8        3        2        2        5        1        8        10       9        3        8        8        9
Vardas124               Pavarde124              9        2        9        2        2        8        9        6        3        1        7        6        7        8        7        6
Vardas125               Pavarde125              3        9        3        9        6        8        9        1        8        9        5        2        7        8        10       2
Vardas126               Pavarde126              4        1        1        1        4        10       6        4        2        6        10       1        4        4        6        5
Vardas127               Pavarde127              4        6        2        8        10       8        6        7        1        4        9        3        5        2        3        2
Vardas128               Pavarde128              1        2        2        9        2        9        8        9        3        2        5        6        6        2        2        9
Vardas129               Pavarde129              7        4        3        6        10       4        5        10       5        5        10       4        3        5        6        8
Vardas130               Pavarde130              3        1        7        9        6        10       1        6        7        4        8        9        7        5        6        9
Vardas131               Pavarde131              4        9        9        1        9        8        3        8        4        8        9        8        5        10       10       10
Vardas132               Pavarde132              8        4        2        3        9        5        4        8        9        6        6        9        10       8        7        4
Vardas133               Pavarde133              7        2        6        7        8        8        2        2        5        1        7        3        7        1        9        8
Vardas134               Pavarde134              6        10       4        6        2        6        10       7        8        9        4        3        6        9        6        4
Vardas135               Pavarde135              3        10       7        1        7        7        9        4        4        1        8        10       2        3        9        10
Vardas136               Pavarde136              6        4        6        5        3        8        8        5        8        2        1        7        1        6        5        6
Vardas137               Pavarde137              4        8        8        9        1        4        4        3        2        10       3        1        4        7        8        8
Vardas138               Pavarde138              6        2        7        7        4        4        9        9        4        1        1        6        7        9        2        8
Vardas139               Pavarde139              4        4        7        6        7        5        1        9        9        3        3        10       5        9        2        8
Vardas140               Pavarde140              4        8        8        6        6        7        5        6        1        8        4        5        10       4        10       6
Vardas141               Pavarde141              8        4        7        2        7        1        7        7        1        2        10       5        6        4        1        4
Vardas142               Pavarde142              2        3        5        4        3        9        2        4        4        8        3        8        9        5        9        9
Vardas143               Pavarde143              3        6        3        1        10       4        4        5        10       4        5        9        9        7        8        8
Vardas144               Pavarde144              8        2        4        1        9        2        7        1        2        6        1        7        4        1        9        8
Vardas145               Pavarde145              4        1        8        8        6        2        2        2        3        5        8        3        5        8        5        1
Vardas146               Pavarde146              8        7        4        6        4        8        1        2        10       7        4        3        9        8        5        3
Vardas147               Pavarde147              10       8        2        7        1        10       3        7        6        10       4        7        3        5        4        6
Vardas148               Pavarde148              10       9        5        9        1        6        8        9        10       10       2        6        1        1        2        8
Vardas149               Pavarde149              7        4        10       10       1        10       2        10       2        2        9        7        6        8        7        5
Vardas150               Pavarde150              6        3        8        1        6        10       8        9        1        2        6        3        10       2        7        10
Vardas151               Pavarde151              5        3        10       2        1        3        7        6        6        6        8        2        8        10       1        10
Vardas152               Pavarde152              4        8        8        1        8        9        6        1        10       1        9        1        8        5        9        4
Vardas153               Pavarde153              1        9        5        5        6        7        7        1        8        9        6        8        7        2        9        5
Vardas154               Pavarde154              3        2        9        6        9        3        7        6        5        8        6        8        5        5        2        10
Vardas155               Pavarde155              5        10       3        1        6        9        2        4        2        5        2        8        8        5        9        3
Vardas156               Pavarde156              3        4        6        7        7        2        3        4        7        5        8        10       3        8        5        1
Vardas157               Pavarde157              2        7        6        5        7        8        5        7        6        1        7        3        1        3        8        3
Vardas158               Pavarde158              8        2        7        3        10       9        10       2        8        8        2        2        5        6        2        1
Vardas159               Pavarde159              1        1        4        10       8        8        5        10       5        7        9        10       3        4        5        2
Vardas160               Pavarde160              1        4        5        2        7        7        5        5        9        3        9        5        8        4        4        5
Vardas161               Pavarde161              1        2        2        9        1        3        8        5        4        9        10       2        7        4        1        5
Vardas162               Pavarde162              1        10       8        8        3        3        10       7        6        5        7        3        9        7        10       1
Vardas163               Pavarde163              6        4        3        6        7        9        3        5        8        10       3        7        1        10       4        9
Vardas164               Pavarde164              8        5        7        2        7        7        2        10       5        5        4        10       1        2        2        8
Vardas165               Pavarde165              4        9        7        5        7        1        10       9        9        1        4        6        8        3        2        7
Vardas166               Pavarde166              6        6        6        8        2        5        3        7        5        1        4        6        1        1        2        2
Vardas167               Pavarde167              6        9        4        6        5        3        6        3        6        9        4        6        1        10       1        8
Vardas168               Pavarde168              8        1        9        7        5        9        7        3        10       6        3        4        5        6        1        2
Vardas169               Pavarde169              10       2        3        2        8        6        5        3        8        6        6        5        10       6        9        8
Vardas170               Pavarde170              10       9        7        2        3        4        7        6        7        8        6        3        6        9        10       6
Vardas171               Pavarde171              10       3        10       4        10       8        3        4        5        1        6        9        5        7        3        8
Vardas172               Pavarde172              9        5        7        4        10       3        6        2        5        3        2        1        9        2        6        5
Vardas173               Pavarde173              3        8        3        5        3        6        4        1        7        7        2        5        8        10       1        5
Vardas174               Pavarde174              4        6        4        9        6        5        6        10       7        10       5        2        10       9        6        1
Vardas175               Pavarde175              5        3        5        4        8        1        5        10       3        9        6        3        5        10       2        6
Vardas176               Pavarde176              2        6        6        9        7        5        7        3        10       8        9        7        3        5        3        2
Vardas177               Pavarde177              4        8        1        2        4        7        1        10       3        8        1        8        5        3        3        9
Vardas178               Pavarde178              6        3        4        7        9        4        10       5        5        1        2        3        6        1        3        4
Vardas179               Pavarde179              7        1        5        8        3        2        5        4        5        8        9        3        1        4        3        5
Vardas180               Pavarde180              3        8        8        8        4        4        7        10       8        2        7        4        4        3        1        4
Vardas181               Pavarde181              6        6        9        7        2        4        5        6        3        10       10       2        8        10       3        3
Vardas182               Pavarde182              4        5        6        4        6        8        1        8        9        3        2        8        6        10       3        4
Vardas183               Pavarde183              7        8        5        2        8        4        6        4        3        9        5        8        10       6        3        2
Vardas184               Pavarde184              9        9        4        6        5        5        4        6        6        9        9        3        3        4        5        7
Vardas185               Pavarde185              5        1        9        1        7        9        1        2        4        1        5        6        8        1        4        8
Vardas186               Pavarde186              2        2        2        5        8        2        1        9        9        3        8        9        3        2        7        8
Vardas187               Pavarde187              7        5        1        2        1        7        4        10       1        1        4        10       9        9        3        6
Vardas188               Pavarde188              9        1        5        7        2        6        8        6        5        2        9        3        5        8        6        10
Vardas189               Pavarde189              9        7        5        8        9        7        7        6        5        1        7        4        8        2        5        3
Vardas190               Pavarde190              2        8        4        2        8        5        7        3        1        2        6        9        5        4        1        7
Vardas191               Pavarde191              4        2        10       4        10       8        10       8        1        8        3        4        2        3        4        4
Vardas192               Pavarde192              3        8        10       3        6        5        3        3        2        4        6        2        7        8        7        5
Vardas193               Pavarde193              6        8        1        9        4        10       2        2        7        6        7        5        8        4        5        9
Vardas194               Pavarde194              1        2        1        2        5        6        6        10       2        3        2        2        10       6        5        7
Vardas195               Pavarde195              7        8        3        4        7        3        8        9        10       3        2        6        8        7        6        2
Vardas196               Pavarde196              10       8        9        8        2        4        10       2        10       3        4        5        8        4        3        7
Vardas197               Pavarde197              4        6        2        7        3        5        2        8        5        4        7        3        6        5        2        6
Vardas198               Pavarde198              9        10       8        4        3        5        3        2        6        4        3        7        4        9        7        10
Vardas199               Pavarde199              3        4        8        1        6        3        5        5        4        5        1        4        6        9        3        9
Vardas200               Pavarde200              9        6        7        1        5        10       5        1        5        3        2        3        8        5        10       9
Vardas201               Pavarde201              7        7        6        7        9        1        7        8        7        10       9        8        2        5        5        3
Vardas202               Pavarde202              2        4        6        3        5        3        10       1        6        1        9        9        9        3        4        2
Vardas203               Pavarde203              9        9        9        4        9        3        8        10       7        9        6        3        4        3        2        9
Vardas204               Pavarde204              10       7        8        2        8        10       7        2        3        4        10       5        9        1        8        2
Vardas205               Pavarde205              8        4        4        10       4        3        7        3        1        9        5        10       4        2        3        10
Vardas206               Pavarde206              10       5        10       5        7        2        1        7        10       8        6        7        10       7        8        1
Vardas207               Pavarde207              6        10       9        8        8        3        1        10       9        9        1        1        7        7        7        9
Vardas208               Pavarde208              8        5        3        7        3        5        2        5        10       5        1        3        10       5        1        5
Vardas209               Pavarde209              4        2        6        10       9        1        2        1        1        6        3        9        9        1        2        5
Vardas210               Pavarde210              10       8        7        5        9        5        7        1        7        7        9        2        7        5        5        10
Vardas211               Pavarde211              4        6        8        1        5        9        9        10       9        7        3        5        1        7        3        7
Vardas212               Pavarde212              7        10       9        5        9        8        3        1        6        4        8        6        8        1        6        5
Vardas213               Pavarde213              4        1        4        10       8        5        5        4        3        2        8        3        5        10       10       6
Vardas214               Pavarde214              8        7        1        9        9        8        10       9        5        10       6        5        6        2        3        1
Vardas215               Pavarde215              2        1        6        10       4        6        5        10       3        1        8        10       4        1        9        6
Vardas216               Pavarde216              9        3        7        7        10       7        1        4        5        7        8        1        10       3        5        3
Vardas217               Pavarde217              1        6        5        10       9        2        9        2        10       2        10       10       1        2        1        10
Vardas218               Pavarde218              1        5        8        3        9        1        10       7        8        5        2        9        1        9        3        6
Vardas219               Pavarde219              3        7        5        10       10       9        8        9        4        8        7        7        4        1        4        4
Vardas220               Pavarde220              9        1        1        5        7        5        5        2        10       6        9        9        6        1        4        5
Vardas221               Pavarde221              10       10       3        7        9        8        10       3        7        5        4        10       6        3        8        4
Vardas222               Pavarde222              4        7        9        1        2        7        7        9        3        9        7        3        10       4        7        4
Vardas223               Pavarde223              9        8        8        7        9        4        9        2        8        4        4        10       7        3        9        8
Vardas224               Pavarde224              1        3        3        3        9        6        2        6        8        1        2        1        7        3        10       9
Vardas225               Pavarde225              8        10       8        5        3        5        6        7        9        6        6        6        4        4        8        6
Vardas226               Pavarde226              4        6        1        1        9        8        1        1        2        6        9        7        6        7        4        2
Vardas227               Pavarde227              7        2        4        5        5        9        6        9        9        10       3        6        7        5        4        5
Vardas228               Pavarde228              4        1        5        7        6        6        7        4        9        9        8        4        1        8        6        9
Vardas229               Pavarde229              6        5        3        5        6        5        6        4        2        6        10       1        9        2        10       3
Vardas230               Pavarde230              4        4        3        6        2        8        4        2        8        9        1        8        6        8        9        9
Vardas231               Pavarde231              7        2        5        9        3        6        5        1        7        6        10       8        1        7        10       3
Vardas232               Pavarde232              9        9        10       8        6        6        5        5        1        7        1        4        7        10       3        8
Vardas233               Pavarde233              7        8        7        6        9        3        5        6        10       6        4        1        3        1        6        1
Vardas234               Pavarde234              7        6        6        8        4        2        2        5        10       3        10       6        7        10       7        4
Vardas235               Pavarde235              8        10       8        6        4        9        4        3        3        10       1        6        3        10       8        4
Vardas236               Pavarde236              2        1        5        3        8        2        2        3        5        8        9        4        2        9        3        2
Vardas237               Pavarde237              8        10       9        8        3        1        9        1        6        6        3        2        2        2        10       5
Vardas238               Pavarde238              4        10       5        6        8        6        4        1        6        1        7        10       6        7        3        6
Vardas239               Pavarde239              1        9        8        8        10       5        10       2        2        7        10       5        5        5        4        6
Vardas240               Pavarde240              7        2        6        10       4        5        10       5        6        7        10       8        7        6        4        4
Vardas241               Pavarde241              9        4        9        10       3        10       5        6        6        10       3        7        1        9        6        4
Vardas242               Pavarde242              10       10       10       1        1        2        6        10       10       5        10       1        6        10       5        3
Vardas243               Pavarde243              8        7        2        2        10       2        1        3        5        7        6        1        2        4        1        3
